Nom_Produit,Marque,Categorie,Energie_kJ,Sucres_g,Graisses_Sat_g,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,NutriScore_Score,NutriScore_Lettre,Points_N,Points_P,GreenScore_Lettre,GreenScore_Score,ELECTRE_Pess_0.6,ELECTRE_Opt_0.6,ELECTRE_Pess_0.7,ELECTRE_Opt_0.7,RF_Pred
Concentré de tomates Aicha,Aicha,vegetables,132.0,2.43,0.0,0.27,1.24,0.811,0.0,1,B,1,0,C,59,C,C,C,B,A
Aicha Tomato Paste,Aicha,vegetables,496.0,9.0,0.0,0.5,4.6,3.0,0.0,3,C,4,1,C,46,C,C,C,B,B
Raw kimchi,Vadasz,vegetables,63.0,0.0,0.1,2.065,1.1,1.8,0.0,10,C,10,0,A,88,A,A,B,A,A
Beurre de cacahuètes,Maribel,vegetables,2860.0,3.9,12.0,0.03,30.4,9.2,0.0,14,D,19,5,D,34,C,C,D,B,D
Carottes rapees citron dnp 320g,Bonduelle,vegetables,301.0,4.5,0.3,0.71,1.0,3.0,86.0,-1,A,4,5,A,79,B,B,C,B,
Aubergines cuisinées à la Provençal,Cassegrain,vegetables,344.0,5.6,0.6,0.76,1.2,2.2,81.0,0,A,5,5,B,73,B,B,C,B,C
Solis,Nestle nutrition,vegetables,284.0,6.0,0.4,1.0,1.2,0.6,0.0,6,C,6,0,A,77,C,C,D,B,C
Carottes râpées à la ciboulette,Saladinettes,vegetables,331.0,5.0,0.4,0.865,1.1,28.0,0.0,0,A,5,5,A,76,B,B,C,B,C
Haricots Verts extrafins 12,Cassegrain,vegetables,82.0,1.3,0.1,0.79,1.4,2.4,100.0,-2,A,3,5,A,77,B,B,B,B,A
Italian Chopped Tomatoes in tomato juice,by sainsbury's,vegetables,101.0,3.5,0.1,0.07,1.2,0.9,0.0,1,B,1,0,A,89,B,B,C,B,A
Oven Baked Sweet Potato Fries,Strong Roots,vegetables,805.0,16.2,0.625,0.287,2.75,5.38,0.0,3,C,7,4,A,86,C,C,C,B,C
Batchelors  Mushy Original,Batchelors,vegetables,368.0,1.4,0.2,0.45,5.9,3.9,0.0,0,A,3,3,A,84,B,B,B,B,A
Chunky chopped tomatoes,Aldi,vegetables,88.0,3.3,0.0,0.0,1.4,1.0,0.0,0,A,0,0,A,77,A,A,C,A,
Carottes rapees citron dnp 500g,Bonduelle,vegetables,301.0,4.5,0.3,0.71,1.0,3.0,86.0,-1,A,4,5,A,77,B,B,C,B,A
Chopped Tomatoes 4pk,Napolina,vegetables,96.0,3.6,0.0,0.1,1.3,1.0,0.0,1,B,1,0,A,88,B,B,C,A,A
Double Concentré de Tomates,Sicam,vegetables,354.0,13.8,0.2,0.13,3.9,3.8,0.0,0,A,2,2,C,51,B,B,C,B,B
Tomate triturado,Hacendado,vegetables,117.0,4.0,0.0,0.492,0.8,0.0,0.0,3,C,3,0,A,77,C,C,C,B,A
Curry de pois chiches aux épices douces daucy 380g,D'aucy,vegetables,373.0,2.5,1.0,0.87,3.5,3.2,71.4,1,B,5,4,A,86,B,B,C,B,C
GOLDEN VEGETAB,Ben's Original,vegetables,632.0,0.7,0.1,0.44,3.2,1.2,0.0,2,B,3,1,C,51,C,C,C,B,B
Poêlée Paysanne 750g,Bonduelle,vegetables,281.0,2.3,0.7,0.71,1.7,3.3,67.0,0,A,3,3,B,73,B,B,B,B,A
Tomatoes  Cherry Tomatoes Italian,Italiamo,vegetables,134.0,3.8,0.0,0.03,1.5,2.3,0.0,1,B,1,0,A,82,B,B,B,A,A
Haricots Verts extrafins 14,Cassegrain,vegetables,82.0,1.3,0.1,0.79,1.4,2.4,100.0,-2,A,3,5,A,85,B,B,B,A,A
Haricots Verts extrafins 44,Cassegrain,vegetables,82.0,1.3,0.1,0.79,1.4,2.4,100.0,-2,A,3,5,A,77,B,B,B,B,A
Polpa Finely Chopped Italian Tomatoes,Lidl,vegetables,92.0,3.8,0.1,0.01,1.1,0.8,0.0,1,B,1,0,A,77,A,A,C,B,A
Italian Finely Chopped Tomatoes,Tesco,vegetables,105.0,4.0,0.1,0.03,1.4,0.9,0.0,1,B,1,0,A,84,B,B,C,B,A
Poivrons grillés,Freshona,vegetables,163.0,6.1,0.5,1.16,0.6,0.9,0.0,6,C,6,0,A,76,C,C,D,B,C
Tomatenpuree,"Baresa, Freshona",vegetables,393.0,13.2,0.14,0.7,4.7,5.04,0.0,1,B,5,4,C,46,C,C,C,B,B
Mes Carottes râpées à la ciboulette,Pierre Martinet,vegetables,329.0,5.0,0.4,0.88,1.1,2.8,0.0,5,C,5,0,A,77,B,B,C,B,
Coleslaw choux blanc et carottes,Saladinettes,vegetables,454.0,6.7,0.6,1.0,0.9,2.4,0.0,7,C,7,0,A,77,B,B,D,B,C
Chopped tomatoes in tomato juice,Everyday Essentials,vegetables,93.0,3.8,0.1,0.01,1.1,0.8,0.0,1,B,1,0,A,86,A,A,C,B,A
Courgettes à la Provençale 14,Cassegrain,vegetables,260.0,5.2,0.5,0.71,1.8,1.3,82.0,-1,A,4,5,A,81,C,B,C,A,A
Carottes,Monique ranou,vegetables,326.0,5.0,0.4,0.87,0.7,2.5,0.0,5,C,5,0,A,80,B,B,C,B,C
Italian chopped tomatoes in tomato juice,Morrisons,vegetables,87.0,2.7,0.1,0.09,0.9,0.9,0.0,0,A,0,0,A,77,B,B,B,B,
Excellence Noir Prodigieux 90 Cacao,Lindt,chocolates,2477.0,7.0,30.0,0.03,10.0,0.0,0.0,18,D,18,0,E,29,D,D,D,D,E
Chocolat noir  85 cacao,J.D. Gross,chocolates,2510.0,12.0,28.0,0.0,12.0,16.0,0.0,13,D,18,5,D,43,D,D,D,B,D
Organic 70 Dark Chocolate Bar,Green & Black's,chocolates,2428.0,29.0,25.0,0.01,9.1,10.0,0.0,16,D,21,5,D,40,D,D,E,B,D
Excellence Noir Intense 70 Cacao,Lindt,chocolates,2350.0,30.0,24.0,0.02,9.5,0.0,0.0,21,E,21,0,E,29,D,D,E,D,E
Dark chocolate,Green and black,chocolates,2530.0,13.9,30.0,0.131,10.0,12.8,0.0,13,D,18,5,C,55,C,C,D,B,D
Excellence Noir Puissant 85 Cacao,Lindt,chocolates,2418.0,15.0,27.0,0.02,12.5,0.0,0.0,21,E,21,0,E,29,D,D,E,D,E
Extra dark 74 Cocoa,fin CARRÉ,chocolates,2367.0,26.0,26.0,0.02,9.9,0.0,0.0,21,E,21,0,D,40,D,D,E,D,
70 chocolate,Lindt & Sprüngli,chocolates,2370.0,30.0,24.0,5e-05,9.5,0.0,0.0,21,E,21,0,E,29,D,D,E,D,E
Excellence 85 Cacao Rich Dark,Lindt,chocolates,2420.0,15.0,27.0,0.0125,12.5,15.0,0.0,16,D,21,5,E,26,E,E,E,B,D
Edelbitter 70 Cacao,J.D Gross,chocolates,2280.0,28.0,24.8,0.0,8.8,12.0,0.0,15,D,20,5,E,16,E,E,E,B,D
Bitter Extra Kraftig,"Lindt,Lindt&Sprüngli",chocolates,2397.0,1.0,30.0,0.7,14.0,0.0,0.0,20,E,20,0,E,24,D,D,E,C,E
Nestlé Dessert,Nestlé,chocolates,2285.0,46.4,20.2,0.01,6.0,7.3,0.0,21,E,26,5,D,43,D,D,E,C,D
Chocolat au lait,Milka,chocolates,2255.0,55.0,19.0,0.275,6.5,2.3,0.0,32,E,32,0,E,26,E,E,E,C,D
Lidl Organic Dark Chocolate,LIDL,chocolates,2510.0,26.666666666667,26.666666666667,0.0,10.0,10.0,0.0,16,D,21,5,C,53,C,C,E,B,D
Excellence Noir Subtil Doux 70 Cacao,Lindt Excellence,chocolates,2528.0,29.0,29.0,0.01,6.9,0.0,0.0,21,E,21,0,E,29,D,D,E,D,E
Chocolat Noir 92 cacao,Dark Excellente,chocolates,2430.0,10.0,33.0,0.0,15.0,0.0,0.0,18,D,18,0,E,15,D,D,E,D,E
Dark Chocolate,Tesco finest,chocolates,2470.0,28.0,27.0,0.1,7.0,11.0,0.0,16,D,21,5,D,30,D,D,E,C,
Dark milk chocolate,Tesco,chocolates,2479.0,33.6,27.8,0.23,9.9,5.6,0.0,24,E,27,3,C,48,C,C,E,B,D
Excellence Noir Corsé 78 Cacao,Lindt,chocolates,2410.0,3.4,5.8,0.0075,10.0,0.0,0.0,12,D,12,0,E,29,D,D,D,C,E
Chocolat monogram,Macao,chocolates,2209.0,53.0,18.0,0.0,5.0,7.3,0.0,26,E,31,5,E,15,E,E,E,D,D
Chocolate Negro,Dark Excelente,chocolates,2354.0,12.0,30.0,0.02,14.0,0.0,0.0,18,D,18,0,E,15,D,D,E,D,E
180G C OR NOIR NOISETTE,"Côte D’Or, Mondelez",chocolates,2381.0,40.0,16.0,0.01,7.3,7.8,0.0,21,E,26,5,E,29,D,D,E,C,D
Tagger,Bimo,chocolates,2235.0,47.0,18.0,0.18,3.3,1.5,0.0,26,E,26,0,D,33,D,D,E,D,E
Edelbitter Mild 90,J.D. Gross,chocolates,2500.0,7.3,31.4,0.02,11.0,14.6,0.0,13,D,18,5,D,34,D,D,D,B,
Chocolat noir Equateur Bio,J.D. Gross,chocolates,2641.0,14.0,34.0,0.01,9.0,11.5,0.0,13,D,18,5,C,49,C,C,E,B,D
Excellence Noir à la Pointe de Fleur de Sel,Lindt,chocolates,2240.0,47.0,19.0,0.37,5.7,0.0,0.0,27,E,27,0,E,29,D,D,E,D,E
Dark Chocolate,Fin Carré,chocolates,2222.0,47.7,18.9,0.01,5.7,7.5,0.0,21,E,26,5,C,47,D,D,E,C,D
Chocolate negro 95 cacao,J. D. Gross,chocolates,2480.0,2.4,31.2,0.03,12.8,10.4,0.0,12,D,17,5,D,34,B,B,D,B,
Toblerone,Toblerone,chocolates,2209.0,60.0,17.0,0.12,5.6,2.4,0.0,31,E,31,0,B,70,D,D,E,B,E
Organic Milk Chocolate,Green & Black's,chocolates,2347.0,46.0,22.0,0.22,9.8,2.8,0.0,28,E,28,0,C,59,C,C,E,B,D
Noir Extra,Poulain,chocolates,2119.0,52.0,18.0,0.01,4.9,7.2,0.0,26,E,31,5,E,29,D,D,E,D,E
Шоколад с 6 парченца малини,"J.D. Gross, Lidl",chocolates,2310.0,28.8,24.0,0.08,8.0,11.2,0.0,15,D,20,5,B,64,C,C,E,B,D
Milka Tablette Noisette,"Milka, Mondelez",chocolates,2356.0,45.0,16.0,0.22,8.2,3.7,0.0,26,E,27,1,D,33,D,D,E,C,D
NOIR DEGUSTATION 70 CARAMEL,"J.D. Gross, Lidl",chocolates,2280.0,35.2,22.4,0.16,7.2,9.6,0.0,20,E,25,5,D,44,D,D,E,C,D
Excellence Noir Délicat Doux 85 Cacao,Lindt EXCELLENCE,chocolates,2523.0,14.0,33.0,0.03,8.9,0.0,0.0,18,D,18,0,D,38,D,D,E,D,E
,Aiguebelle,chocolates,2142.0,25.3,24.4,0.01,9.2,0.0,0.0,20,E,20,0,E,29,D,D,E,D,E
délice noir,Aiguebelle,chocolates,2226.0,44.0,22.0,0.011,5.2,0.0,0.0,25,E,25,0,E,15,E,E,E,E,E
85 Cocoa  Dark Chocolate,Moser Roth,chocolates,2530.0,13.2,32.0,0.0012,10.8,13.2,0.0,13,D,18,5,E,20,D,D,E,B,D
Noir equitable 85 Pérou,Alter Eco,chocolates,2640.0,14.0,32.0,0.01,8.1,13.0,0.0,13,D,18,5,C,54,C,C,E,C,D
single origin milk chocolate,Marks & Spencer,chocolates,2586.0,37.2,29.1,0.25,8.4,0.0,0.0,27,E,27,0,D,34,D,D,E,D,E
Chocolat noir 85 Madagascar,Ethiquable,chocolates,2562.0,14.0,31.0,0.0,11.0,11.0,0.0,13,D,18,5,C,49,C,C,E,B,D
Milka oreo,Milka Oreo,chocolates,2333.0,50.0,19.0,0.45,5.0,0.2,0.0,28,E,28,0,E,19,E,E,E,D,E
Chocolate negro,"Carrefour BIO, Carrefour",chocolates,2353.0,27.0,26.0,0.03,9.6,12.0,0.0,16,D,21,5,C,49,C,C,E,B,D
Absolute black dark chocolate,Montezuma's,chocolates,2477.0,3.0,33.0,0.02,13.0,17.0,0.0,12,D,17,5,E,28,B,B,E,B,D
Čokoláda na vaření,"Fin Carré, lidl",chocolates,2125.0,48.0,18.0,0.0,6.8,10.0,0.0,21,E,26,5,C,46,C,C,E,C,D
180G LT NOISETTE COTE D OR,Côte d'Or,chocolates,2322.0,43.0,14.0,0.18,9.3,5.1,0.0,22,E,25,3,D,33,D,D,D,B,D
Dark Chocolate,TESCO finest,chocolates,2640.0,13.0,33.0,0.1,10.0,13.0,0.0,13,D,18,5,D,30,D,D,D,B,D
Noir 70 Intense,"Côte d'Or,Mondelēz",chocolates,2510.0,28.0,29.0,0.05,7.0,11.0,0.0,16,D,21,5,E,29,D,D,E,C,D
Milka wholenut,Milka,chocolates,2322.0,47.0,15.0,0.3,8.1,0.0,0.0,27,E,27,0,E,24,D,D,E,E,E
Fine  Gourmande Noir 70,"Fine gourmande,Poulain",chocolates,2226.0,0.5,27.0,0.01,7.6,11.0,0.0,11,D,16,5,E,29,C,C,D,B,D
Tentation aiguebelle,Aiguebelle,chocolates,2435.0,10.5,29.8,0.03,10.0,0.0,0.0,18,D,18,0,E,15,D,D,E,D,E
Noir intense dessert 70,Lindt,chocolates,2280.0,30.0,22.0,0.03,9.6,0.0,0.0,20,E,20,0,E,28,E,E,E,E,E
Milk Chocolate,Ferrero Rocher,chocolates,2554.0,45.4,21.4,0.16,6.2,0.0,0.0,27,E,27,0,E,17,E,E,E,E,E
AFTER EIGHT Coffret 300g,"After Eight, Nestlé",chocolates,1791.0,66.2,7.6,0.0,2.2,2.8,0.0,27,E,27,0,E,20,D,D,D,D,D
NAPOLITAIN,Aiguebelle,chocolates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,A,0,0,E,16,A,A,D,A,A
Excellence Noir Orange Intense,Lindt,chocolates,2229.0,46.0,17.0,0.08,7.0,0.0,0.0,26,E,26,0,B,70,D,D,E,C,E
SLICED WHITE SOURDOUGH BREAD WITH GRAINS  SEEDS,JASONS SOURDOUGH,breads,992.0,1.4,0.3,0.89,10.7,4.7,0.0,0,A,6,6,A,79,B,B,B,B,C
Pain de mie grandes tranches Seigle  Graines 500g,la Boulangère,breads,1246.0,4.2,1.0,0.96,12.0,7.2,0.0,-2,A,8,10,A,83,C,C,C,B,C
Jasons Sourdough,Jasons,breads,975.0,2.6,0.2,0.855,9.3,3.6,0.0,2,B,6,4,A,84,B,B,B,B,C
14 Maxi Tranches complet sans sucres ajoutés,Jacquet,breads,1026.0,3.8,0.3,1.2,8.7,6.6,0.0,2,B,9,7,A,83,B,B,C,B,C
Dark Rye Crispbread,Ryvita,breads,1480.0,2.86,0.19,0.705,10.5,14.5,0.0,-2,A,7,9,A,82,B,B,B,B,
Seed Sensations,Hovis,breads,1160.0,3.86,0.682,0.886,10.0,5.23,0.0,1,B,8,7,A,78,B,B,C,B,C
Bakery Co 5 The Original Bagels,New York Bakery Co,breads,958.0,4.4,0.8,0.188,7.8,2.6,0.0,0,A,3,3,A,81,B,B,C,B,C
Rye  Mixed Seed Sourdough Bread,Tesco,breads,1100.0,2.4,0.8,0.765,8.6,6.8,0.0,-1,A,6,7,A,82,B,B,C,B,C
pain de mie grandes tranches spécial sandwich complet,"Lidl,Maître Jean Pierre",breads,1089.0,5.0,0.5,1.0,8.3,6.3,0.0,2,B,9,7,B,74,C,C,C,B,C
Harrys brioche tressee nature au sucre perle sans additifs 500g,Harrys,breads,1496.0,13.0,1.0,0.8,8.6,4.5,0.0,4,C,9,5,C,47,C,C,C,C,
100 mie complet 500g,Harry's,breads,1053.0,5.5,0.4,1.1,7.5,6.5,0.0,2,B,9,7,A,85,C,C,C,B,C
MULTISEED WHOLEMEAL FARMHOUSE LOAF,Sainsbury's taste the difference,breads,1136.0,4.2,1.1,0.84,12.8,7.4,0.0,-1,A,9,10,A,75,C,C,C,B,C
Biscottes 6 Céréales,Heudebert,breads,1698.0,3.4,2.4,1.6,13.0,5.0,0.0,12,D,15,3,A,77,C,C,C,B,C
Brioche moins de sucre,Harrys,breads,1354.0,9.3,1.1,1.0,8.4,7.2,0.0,6,C,11,5,C,49,C,C,D,C,C
Pain grillé au blé complet,LU Pelletier,breads,1636.0,2.6,2.1,1.8,12.0,5.1,0.0,12,D,15,3,B,70,B,B,C,B,C
Classic Torinesi Breadsticks,Crosta & Mollica,breads,1700.0,2.8,1.0,2.1,19.8,1.2,0.0,15,D,15,0,A,85,C,C,C,B,C
Harrys pain de mie 100 mie nature sans croute 500g,Harrys,breads,1115.0,7.0,0.3,1.1,7.0,4.0,0.0,5,C,9,4,A,86,C,C,C,B,C
Pain de mie grandes tranches Toastiligne complet,la boulangère,breads,953.0,2.8,0.9,0.98,10.0,6.2,0.0,-2,A,6,8,B,74,B,B,B,B,C
Wholemeal Sliced Wholemeal Bread,Warburtons,breads,950.0,2.52,0.42,0.945,10.5,6.3,0.0,-2,A,6,8,B,67,B,B,B,B,C
6 Wraps blé complet,Old El Paso,breads,1240.0,2.24,1.03,1.05,9.14,5.17,0.0,3,C,9,6,A,78,B,B,C,B,C
Seeded Batch,Warburtons,breads,1231.0,2.6,1.3,0.95,10.6,6.0,0.0,0,A,8,8,B,68,B,B,C,B,C
The Original Crunchy Rye Breads,Ryvita,breads,1480.0,2.86,0.19,0.762,10.5,13.3,0.0,-2,A,7,9,B,72,B,B,B,B,A
Pain de mie american sandwich complet sans sucres ajoutés 600g,Harrys,breads,1178.0,3.6,0.5,1.1,7.7,8.1,0.0,1,B,9,8,B,74,C,C,C,B,C
Tasty Wholemeal Medium,Hovis,breads,920.0,4.0,0.5,0.888,10.0,6.75,0.0,-1,A,7,8,B,67,B,B,C,B,C
5050 Medium Bread,Kingsmill,breads,982.0,8.75,1.0,0.95,9.5,11.8,0.0,-1,A,7,8,B,67,C,C,C,B,C
Grilletines blé complet,"Brioche Pasquier, Pasquier",breads,1760.0,7.3,2.0,0.87,13.0,6.7,0.0,8,C,12,4,A,79,C,C,D,A,
Wholemeal Bread,Warburtons,breads,953.0,2.46,0.446,0.943,10.5,6.47,0.0,-2,A,6,8,B,67,B,B,B,B,C
Harrys beau  bon pain de mie farine de ble cereales  graines 320g,Harrys,breads,1206.0,3.5,0.7,1.0,12.0,6.0,0.0,0,A,9,9,A,80,B,B,C,B,C
Ryvita Multigrain Crispbread,RYVITA,breads,1480.0,3.81,0.952,0.571,12.4,17.1,0.0,-3,A,7,10,B,72,C,C,C,B,A
Italian Original Breadsticks,Tesco,breads,1748.0,2.8,1.4,1.8,11.2,2.8,0.0,15,D,15,0,A,87,B,B,C,B,C
Tartines de Pain Blé Complet,Brioche Pasquier,breads,1615.0,4.2,0.8,1.5,13.0,8.7,0.0,7,C,12,5,A,80,B,B,C,A,C
4 Greek Style Flatbreads,K Kitchen Deli,breads,1076.0,2.9,1.0,0.89,11.3,6.7,0.0,-1,A,7,8,A,78,B,B,C,B,C
Le Ravioli pur boeuf,Panzani,ravioli,384.0,1.4,0.8,0.75,3.8,1.6,0.0,3,C,4,1,B,68,B,B,C,B,C
Ravioli au tofu tomates basilic,Céréal Bio,ravioli,465.0,2.9,0.4,0.74,3.8,3.8,0.0,2,B,4,2,A,87,B,B,B,B,C
Ravioli pur bœuf  sans colorant ni conservateur,Panzani,ravioli,384.0,1.6,0.8,0.9,3.8,0.8,0.0,4,C,5,1,B,61,B,B,D,B,B
GIRASOLI RICOTTA EPINARD,Lustucru Lustucru selection,ravioli,1024.0,3.6,4.0,1.1,8.1,2.9,0.0,13,D,13,0,B,62,C,C,C,C,C
Ravioli boeuf,"Lustucru, Lustucru selection",ravioli,1111.0,3.8,2.0,1.0,9.0,2.4,0.0,11,D,11,0,E,16,C,C,C,C,C
Ravioli vegetariens,"Carrefour BIO, Carrefour",ravioli,360.0,3.7,0.1,0.83,2.4,1.5,0.0,6,C,6,0,A,82,C,C,C,B,
Chicken Gyoza Dinner Dumplings,Itsu,ravioli,649.0,2.5,1.2,0.71,8.2,1.7,0.0,2,B,5,3,D,37,C,C,C,C,B
Beef Ravioli,Heinz,ravioli,310.0,3.1,0.7,0.6,2.5,0.8,0.0,1,B,2,1,C,50,C,C,C,C,
Ravioli bio au blé complet épinards ricotta burrata,Giovanni Rana,ravioli,1064.0,4.1,2.6,0.96,9.9,3.7,0.0,5,C,10,5,A,80,C,C,C,B,C
PZ RAVIOLI BOLO 800GR,Panzani,ravioli,431.0,1.9,1.7,0.85,4.5,0.7,0.0,5,C,6,1,B,60,C,C,D,C,B
Ravioli chèvre et ciboulette,"Jardin bio, LÉA NATURE",ravioli,366.0,4.9,0.6,0.54,3.0,1.8,0.0,3,C,4,1,A,75,B,B,C,B,
Ravioli pur bœuf,Zapetti,ravioli,351.0,1.9,0.8,0.85,3.7,1.1,0.0,4,C,5,1,B,67,B,B,C,B,C
Le Ravioli Bolognaise sans conservateur,Panzani,ravioli,433.0,1.9,1.7,0.85,4.5,1.3,0.0,5,C,6,1,C,59,C,C,C,C,C
Girasoli Potiron  Petits Oignons Grillés Plaisir du Primeux,Rana,ravioli,1037.0,7.7,2.6,0.73,8.8,6.8,0.0,2,B,9,7,B,67,C,C,C,B,C
Pesto basilic et pignons,Giovanni Rana,ravioli,1288.0,4.6,5.3,1.1,8.7,6.9,0.0,10,C,14,4,C,55,C,C,C,C,D
Gourmet  Pâtes fraîches aux œufs farcies aux champignons,"Giovanni Rana, Rana",ravioli,1087.0,4.5,2.5,1.1,9.1,7.0,0.0,6,C,11,5,B,62,C,C,C,B,C
